Plant_Code,Plant_Name,Latitude,Longitude,Name_of_Water_Source,Primary_Purpose_NAICS_Code,Sector_Name,Grid_Voltage_kV
7722,WattsBarNuclearPlant,35.6021,-84.7895,ChickamaugaLake,22,ElectricUtility,500
3407,Kingston,35.8992,-84.5194,ClinchAndEmoryRivers,22,ElectricUtility,161
3400,DouglasDam,35.9623,-83.5393,FrenchBroadRiver,22,ElectricUtility,161
3393,Allen,35.074087,-90.14868,MississippiRiver,22,ElectricUtility,161
3399,Cumberland(TN),36.3903,-87.6539,CumberlandRiver,22,ElectricUtility,161
3416,SouthHolston,36.523174,-82.090213,SouthForkHolstonRiver,22,ElectricUtility,69
3395,BooneDam,36.4403,-82.4381,SouthForkHolstonRiver,22,ElectricUtility,161
3401,FortPatrickHenry,36.4982,-82.5086,SouthForkHolstonRiver,22,ElectricUtility,69
3403,Gallatin(TN),36.3156,-86.4006,CumberlandRiver,22,ElectricUtility,161
2779,FontanaDam,35.4507,-83.805,LittleTennesseeRiver,22,ElectricUtility,161
758,Nottely,34.959153,-84.08765,NottelyRiver,22,ElectricUtility,69
3404,GreatFalls(TN),35.806732,-85.634063,CaneyForkRiver,22,ElectricUtility,161
55251,GleasonGeneratingFacility,36.2454,-88.612,Well,22,ElectricUtility,500
52133,TesoroMandanCogenerationPlant,46.8492,-100.8808,MissouriRiver,32411,IndustrialCHP,4.16
6136,GibbonsCreek,30.619937,-96.081846,GibbonsCreek,22,ElectricUtility,345
50229,TexasPetrochemicals,29.6981,-95.2547,CIWA,32511,IndustrialCHP,69
50709,ThermoGreeley,40.4406,-104.6863,Municipality,22,IPPCHP,115
2014,ThiefRiverFalls,48.114262,-96.179176,RedLakeRiver,22,ElectricUtility,12.47
55440,TenaskaCentralAlabamaGeneratingStn,32.6497,-86.74,AlabamaRiver,22,IPPNon-CHP,500
54849,ThieleKaolinReedyCreek,33.2708,-82.4569,NA,2123,IndustrialNon-CHP,8
54841,ThieleKaolinSandersville,32.9708,-82.8028,NA,2123,IndustrialNon-CHP,12
55005,ThornridgeHighSchool,41.6225,-87.5978,Municipality,611,CommercialNon-CHP,760
55004,ThornwoodHighSchool,41.5839,-87.6047,Municipality,611,CommercialNon-CHP,760
1875,Ubly,43.7217,-82.9388,Well,22,ElectricUtility,40
1874,Caro,43.4659,-83.3278,Well,22,ElectricUtility,40
54341,FourMileHydropowerProject,45.0933,-83.5025,ThunderBayRiver,22,IPPNon-CHP,34.5
54342,NinthStreetHydropowerProject,45.0717,-83.4381,ThunderBayRiver,22,IPPNon-CHP,34.5
54340,NorwayPointHydropowerProject,45.1025,-83.5189,ThunderBayRiver,22,IPPNon-CHP,34.5
8106,Tipton,41.7717,-91.1321,TiptonMunicipalWaterDept,22,ElectricUtility,69
7466,Klawock,55.557778,-132.981389,NA,22,ElectricUtility,0
7462,Angoon,57.499166,-134.58614,NA,22,ElectricUtility,12.47
7463,Hoonah,58.106432,-135.43074,GartinaCreek,22,ElectricUtility,12.47
7464,Kake,56.962983,-133.922557,NA,22,ElectricUtility,12.47
54294,WestGroupDataCenter,44.8256,-93.1139,Municipality,518,CommercialNon-CHP,13.8
56247,WestGroupDataCenterF,44.8283,-93.1167,Municipality,518,CommercialNon-CHP,13.8
57207,ThomsonReutersDataCenterBldgES101,44.8244,-93.1139,Municipality,518,CommercialNon-CHP,13.8
57208,ThomsonReutersDataCenterBldgH,44.8289,-93.1167,Municipality,518,CommercialNon-CHP,13.8
55133,ThomsonReutersCampusBldgA-D,44.8196,-93.1156,Municipality,323,IndustrialNon-CHP,13.8
56051,THUMS,33.7684,-118.2141,Municipality,211,IndustrialNon-CHP,66
56047,CPVTowanticEnergyCenter,41.481243,-73.123108,NA,22,IPPNon-CHP,115
50758,PejepscotHydroelectricProject,43.957448,-70.024158,Hydroelectric,22,IPPNon-CHP,34.5
1871,Kleber,45.391984,-84.333257,BlackRiverHydroelectric,22,IPPNon-CHP,12
56025,TraerEast,42.1817,-92.4663,Municipality,22,ElectricUtility,12.5
1192,TraerMain,42.1926,-92.4636,Municipality,22,ElectricUtility,12.5
